Tipo de hogar;Gastos totales, medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total;Gasto medio por hogar;Grupo 6. Salud;2006;876,34
Total;Gasto medio por hogar;Grupo 7. Transportes;2015;3.158,07
Total;Gasto medio por hogar;Grupo 7. Transportes;2014;3.227,06
Total;Gasto medio por hogar;Grupo 7. Transportes;2013;3.120,60
Total;Gasto medio por hogar;Grupo 7. Transportes;2012;3.320,84
Total;Gasto medio por hogar;Grupo 7. Transportes;2011;3.493,51
Total;Gasto medio por hogar;Grupo 7. Transportes;2010;3.635,72
Total;Gasto medio por hogar;Grupo 7. Transportes;2009;3.610,69
Total;Gasto medio por hogar;Grupo 7. Transportes;2008;4.342,94
Total;Gasto medio por hogar;Grupo 7. Transportes;2007;4.528,96
Total;Gasto medio por hogar;Grupo 7. Transportes;2006;4.468,46
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2015;791,98
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2014;793,23
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2013;823,25
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2012;861,30
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2011;903,83
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2010;920,12
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2009;949,58
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2008;967,94
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2007;927,07
Total;Gasto medio por hogar;Grupo 8. Comunicaciones;2006;862,70
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2015;1.593,08
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2014;1.532,81
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2013;1.536,88
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2012;1.670,30
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2011;1.852,41
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2010;1.945,40
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2009;2.049,23
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2008;2.180,90
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2007;2.218,20
Total;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2006;2.083,41
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2015;380,22
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2014;369,15
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2013;360,64
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2012;332,05
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2011;309,36
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2010;304,73
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2009;284,29
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2008;295,15
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2007;288,75
Total;Gasto medio por hogar;Grupo 10. Enseñanza;2006;276,85
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2015;2.547,67
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2014;2.334,30
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2013;2.250,86
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2012;2.459,17
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2011;2.656,25
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2010;2.698,82
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2009;2.862,58
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2008;3.076,23
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2007;3.249,13
Total;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2006;3.014,23
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2015;2.058,35
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2014;2.065,70
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2013;2.044,47
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2012;2.150,81
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2011;2.192,99
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2010;2.228,61
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2009;2.362,07
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2008;2.416,51
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2007;2.437,80
Total;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2006;2.383,75
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2015;1.649,05
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2014;1.602,98
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2013;1.617,48
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2012;1.617,12
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2011;1.603,68
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2010;1.602,79
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2009;1.632,82
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2008;1.713,51
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2007;1.654,03
Total;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2006;1.583,50
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2015;208,92
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2014;202,89
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2013;210,68
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2012;226,00
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2011;234,25
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2010;236,25
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2009;234,22
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2008;229,55
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;221,42
Total;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;205,46
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2015;557,73
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2014;547,46
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2013;532,16
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2012;547,97
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2011;597,06
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2010;632,42
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2009;659,59
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2008;727,28
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2007;769,78
Total;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2006;755,68
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;3.481,59
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;3.480,75
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;3.537,60
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;3.549,75
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;3.538,46
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;3.391,87
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;3.368,67
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;3.236,46
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;3.013,23
Total;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;2.767,39
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;465,66
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;437,73
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2013;452,79
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2012;484,23
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2011;530,24
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2010;547,85
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2009;576,98
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2008;615,60
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2007;664,91
Total;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2006;659,75
Total;Gasto medio por persona;Grupo 6. Salud;2015;388,53
Total;Gasto medio por persona;Grupo 6. Salud;2014;379,93
Total;Gasto medio por persona;Grupo 6. Salud;2013;343,33
Total;Gasto medio por persona;Grupo 6. Salud;2012;350,21
Total;Gasto medio por persona;Grupo 6. Salud;2011;345,81
Total;Gasto medio por persona;Grupo 6. Salud;2010;356,62
Total;Gasto medio por persona;Grupo 6. Salud;2009;361,63
Total;Gasto medio por persona;Grupo 6. Salud;2008;377,92
Total;Gasto medio por persona;Grupo 6. Salud;2007;349,38
Total;Gasto medio por persona;Grupo 6. Salud;2006;322,07
Total;Gasto medio por persona;Grupo 7. Transportes;2015;1.262,37
Total;Gasto medio por persona;Grupo 7. Transportes;2014;1.284,17
Total;Gasto medio por persona;Grupo 7. Transportes;2013;1.231,60
Total;Gasto medio por persona;Grupo 7. Transportes;2012;1.296,94
Total;Gasto medio por persona;Grupo 7. Transportes;2011;1.350,25
Total;Gasto medio por persona;Grupo 7. Transportes;2010;1.390,06
Total;Gasto medio por persona;Grupo 7. Transportes;2009;1.365,60
Total;Gasto medio por persona;Grupo 7. Transportes;2008;1.625,91
Total;Gasto medio por persona;Grupo 7. Transportes;2007;1.679,73
Total;Gasto medio por persona;Grupo 7. Transportes;2006;1.642,23
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2015;316,58
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2014;315,66
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2013;324,91
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2012;336,38
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2011;349,33
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2010;351,79
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2009;359,14
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2008;362,38
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2007;343,84
Total;Gasto medio por persona;Grupo 8. Comunicaciones;2006;317,05
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2015;636,80
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2014;609,96
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2013;606,56
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2012;652,33
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2011;715,96
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2010;743,79
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2009;775,04
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2008;816,49
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2007;822,70
Total;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2006;765,68
Total;Gasto medio por persona;Grupo 10. Enseñanza;2015;151,98
Total;Gasto medio por persona;Grupo 10. Enseñanza;2014;146,90
Total;Gasto medio por persona;Grupo 10. Enseñanza;2013;142,33
Total;Gasto medio por persona;Grupo 10. Enseñanza;2012;129,68
Total;Gasto medio por persona;Grupo 10. Enseñanza;2011;119,57
Total;Gasto medio por persona;Grupo 10. Enseñanza;2010;116,51
Total;Gasto medio por persona;Grupo 10. Enseñanza;2009;107,52
Total;Gasto medio por persona;Grupo 10. Enseñanza;2008;110,50
Total;Gasto medio por persona;Grupo 10. Enseñanza;2007;107,09
Total;Gasto medio por persona;Grupo 10. Enseñanza;2006;101,75
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2015;1.018,38
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2014;928,91
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2013;888,34
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2012;960,42
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2011;1.026,65
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2010;1.031,85
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2009;1.082,66
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2008;1.151,68
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2007;1.205,06
Total;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2006;1.107,78
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2015;822,78
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2014;822,02
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2013;806,89
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2012;839,99
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2011;847,60
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2010;852,07
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2009;893,36
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2008;904,69
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2007;904,15
Total;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2006;876,07
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2015;2.106,68
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2014;1.939,58
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2013;1.978,92
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2012;1.909,39
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2011;1.936,44
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2010;1.955,36
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2009;2.018,66
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2008;2.071,42
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2007;2.126,13
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2006;1.910,00
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2015;355,12
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2014;360,23
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2013;387,14
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2012;377,21
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2011;413,80
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2010;382,43
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2009;389,99
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2008;377,46
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;352,90
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;324,36
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2015;830,58
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2014;831,78
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2013;833,32
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2012;838,45
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2011;920,24
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2010;1.074,52
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2009;974,03
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2008;1.182,86
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2007;1.202,14
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2006;1.251,31
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;6.796,20
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;6.967,13
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;7.084,13
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;7.459,66
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;7.378,25
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;7.179,39
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;7.425,03
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;7.166,68
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;6.495,07
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;6.348,28
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;697,50
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;639,56
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2013;711,95
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2012;729,29
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2011;886,26
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2010;885,66
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2009;1.043,33
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2008;1.044,08
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2007;1.209,00
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2006;1.439,92
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2015;500,72
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2014;525,98
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2013;452,86
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2012;477,93
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2011;541,89
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2010;608,99
Persona sola con menos de 65 años;Gasto medio por hogar;Grupo 6. Salud;2009;638,54
