Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2008;104.082.115,01
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2007;104.326.730,78
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2006;94.525.597,30
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2019;19,38
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2018;19,97
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2017;20,04
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2016;20,50
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2015;20,02
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2014;20,24
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2013;20,52
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2012;20,45
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2011;20,31
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2010;20,17
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2009;19,59
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2008;19,19
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2007;19,77
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2006;19,29
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;34.979,35
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;34.212,09
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;33.551,28
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;32.449,36
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2015;31.189,88
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2014;29.977,48
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2013;30.299,55
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2012;31.463,22
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2011;32.986,60
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2010;33.512,99
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2009;33.771,73
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2008;35.535,38
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2007;36.536,72
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2006;34.900,25
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2019;9.903,43
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2018;9.692,39
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2017;9.507,26
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2016;9.209,84
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2015;8.839,42
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2014;8.532,96
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2013;8.629,71
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2012;8.991,00
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2011;9.368,27
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2010;9.543,28
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2009;9.597,08
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2008;10.015,77
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2007;10.341,85
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2006;9.809,83
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2019;17.777,61
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2018;17.374,08
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2017;17.058,30
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2016;16.530,56
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2015;15.868,88
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2014;15.286,54
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2013;15.447,94
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2012;16.082,99
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2011;16.796,44
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2010;17.071,12
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2009;17.168,52
