Comunidad autónoma de residencia;Tamaño del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;3 miembros;Índice sobre la media del gmp;2008;98,83
Total Nacional;3 miembros;Índice sobre la media del gmp;2007;100,48
Total Nacional;3 miembros;Índice sobre la media del gmp;2006;100,80
Total Nacional;4 y más;Gasto total;2019;170.762.445,75
Total Nacional;4 y más;Gasto total;2018;168.527.984,52
Total Nacional;4 y más;Gasto total;2017;165.425.667,80
Total Nacional;4 y más;Gasto total;2016;158.936.295,64
Total Nacional;4 y más;Gasto total;2015;153.638.768,10
Total Nacional;4 y más;Gasto total;2014;150.110.168,77
Total Nacional;4 y más;Gasto total;2013;155.214.783,17
Total Nacional;4 y más;Gasto total;2012;164.728.719,41
Total Nacional;4 y más;Gasto total;2011;174.237.532,17
Total Nacional;4 y más;Gasto total;2010;178.847.390,96
Total Nacional;4 y más;Gasto total;2009;186.872.323,07
Total Nacional;4 y más;Gasto total;2008;202.501.566,11
Total Nacional;4 y más;Gasto total;2007;203.760.331,72
Total Nacional;4 y más;Gasto total;2006;196.232.883,58
Total Nacional;4 y más;Distribución porcentual;2019;30,13
Total Nacional;4 y más;Distribución porcentual;2018;30,29
Total Nacional;4 y más;Distribución porcentual;2017;30,61
Total Nacional;4 y más;Distribución porcentual;2016;30,56
Total Nacional;4 y más;Distribución porcentual;2015;30,44
Total Nacional;4 y más;Distribución porcentual;2014;30,27
Total Nacional;4 y más;Distribución porcentual;2013;31,39
Total Nacional;4 y más;Distribución porcentual;2012;32,29
Total Nacional;4 y más;Distribución porcentual;2011;33,35
Total Nacional;4 y más;Distribución porcentual;2010;34,37
Total Nacional;4 y más;Distribución porcentual;2009;35,54
Total Nacional;4 y más;Distribución porcentual;2008;37,34
Total Nacional;4 y más;Distribución porcentual;2007;38,62
Total Nacional;4 y más;Distribución porcentual;2006;40,06
Total Nacional;4 y más;Gasto medio por hogar;2019;39.730,20
Total Nacional;4 y más;Gasto medio por hogar;2018;39.254,38
Total Nacional;4 y más;Gasto medio por hogar;2017;38.637,39
Total Nacional;4 y más;Gasto medio por hogar;2016;37.145,45
Total Nacional;4 y más;Gasto medio por hogar;2015;35.729,51
Total Nacional;4 y más;Gasto medio por hogar;2014;34.735,34
Total Nacional;4 y más;Gasto medio por hogar;2013;35.390,87
Total Nacional;4 y más;Gasto medio por hogar;2012;36.834,09
Total Nacional;4 y más;Gasto medio por hogar;2011;38.289,43
Total Nacional;4 y más;Gasto medio por hogar;2010;38.637,26
Total Nacional;4 y más;Gasto medio por hogar;2009;39.720,19
Total Nacional;4 y más;Gasto medio por hogar;2008;42.605,34
Total Nacional;4 y más;Gasto medio por hogar;2007;42.834,28
Total Nacional;4 y más;Gasto medio por hogar;2006;41.388,77
Total Nacional;4 y más;Gasto medio por persona;2019;9.096,04
Total Nacional;4 y más;Gasto medio por persona;2018;9.074,93
Total Nacional;4 y más;Gasto medio por persona;2017;8.951,20
Total Nacional;4 y más;Gasto medio por persona;2016;8.594,85
Total Nacional;4 y más;Gasto medio por persona;2015;8.254,09
Total Nacional;4 y más;Gasto medio por persona;2014;8.021,57
Total Nacional;4 y más;Gasto medio por persona;2013;8.154,91
Total Nacional;4 y más;Gasto medio por persona;2012;8.467,59
Total Nacional;4 y más;Gasto medio por persona;2011;8.776,68
Total Nacional;4 y más;Gasto medio por persona;2010;8.801,84
Total Nacional;4 y más;Gasto medio por persona;2009;8.997,44
Total Nacional;4 y más;Gasto medio por persona;2008;9.599,83
Total Nacional;4 y más;Gasto medio por persona;2007;9.606,01
Total Nacional;4 y más;Gasto medio por persona;2006;9.241,79
Total Nacional;4 y más;Gasto medio por unidad de consumo;2019;16.051,13
Total Nacional;4 y más;Gasto medio por unidad de consumo;2018;16.000,29
Total Nacional;4 y más;Gasto medio por unidad de consumo;2017;15.801,05
Total Nacional;4 y más;Gasto medio por unidad de consumo;2016;15.177,29
Total Nacional;4 y más;Gasto medio por unidad de consumo;2015;14.584,62
Total Nacional;4 y más;Gasto medio por unidad de consumo;2014;14.167,42
Total Nacional;4 y más;Gasto medio por unidad de consumo;2013;14.384,37
Total Nacional;4 y más;Gasto medio por unidad de consumo;2012;14.913,29
Total Nacional;4 y más;Gasto medio por unidad de consumo;2011;15.468,74
Total Nacional;4 y más;Gasto medio por unidad de consumo;2010;15.479,10
Total Nacional;4 y más;Gasto medio por unidad de consumo;2009;15.808,14
Total Nacional;4 y más;Gasto medio por unidad de consumo;2008;16.857,44
Total Nacional;4 y más;Gasto medio por unidad de consumo;2007;16.834,30
Total Nacional;4 y más;Gasto medio por unidad de consumo;2006;16.202,06
Total Nacional;4 y más;Índice sobre la media del gmp;2019;74,86
Total Nacional;4 y más;Índice sobre la media del gmp;2018;75,51
Total Nacional;4 y más;Índice sobre la media del gmp;2017;76,33
Total Nacional;4 y más;Índice sobre la media del gmp;2016;75,98
Total Nacional;4 y más;Índice sobre la media del gmp;2015;75,16
Total Nacional;4 y más;Índice sobre la media del gmp;2014;74,41
Total Nacional;4 y más;Índice sobre la media del gmp;2013;76,10
Total Nacional;4 y más;Índice sobre la media del gmp;2012;76,89
Total Nacional;4 y más;Índice sobre la media del gmp;2011;77,80
Total Nacional;4 y más;Índice sobre la media del gmp;2010;78,06
Total Nacional;4 y más;Índice sobre la media del gmp;2009;78,66
Total Nacional;4 y más;Índice sobre la media del gmp;2008;80,70
Total Nacional;4 y más;Índice sobre la media del gmp;2007;81,70
Total Nacional;4 y más;Índice sobre la media del gmp;2006;83,05
01 Andalucía;Total;Gasto total;2019;88.952.733,03
01 Andalucía;Total;Gasto total;2018;90.365.143,19
01 Andalucía;Total;Gasto total;2017;88.109.140,74
01 Andalucía;Total;Gasto total;2016;82.830.738,01
01 Andalucía;Total;Gasto total;2015;77.718.706,83
01 Andalucía;Total;Gasto total;2014;77.155.542,10
01 Andalucía;Total;Gasto total;2013;76.328.492,76
01 Andalucía;Total;Gasto total;2012;79.500.700,40
01 Andalucía;Total;Gasto total;2011;83.218.256,02
01 Andalucía;Total;Gasto total;2010;84.143.340,95
01 Andalucía;Total;Gasto total;2009;84.152.140,43
01 Andalucía;Total;Gasto total;2008;87.610.900,57
01 Andalucía;Total;Gasto total;2007;83.756.062,51
01 Andalucía;Total;Gasto total;2006;77.592.170,00
01 Andalucía;Total;Distribución porcentual;2019;100,00
01 Andalucía;Total;Distribución porcentual;2018;100,00
01 Andalucía;Total;Distribución porcentual;2017;100,00
01 Andalucía;Total;Distribución porcentual;2016;100,00
01 Andalucía;Total;Distribución porcentual;2015;100,00
01 Andalucía;Total;Distribución porcentual;2014;100,00
01 Andalucía;Total;Distribución porcentual;2013;100,00
01 Andalucía;Total;Distribución porcentual;2012;100,00
01 Andalucía;Total;Distribución porcentual;2011;100,00
